unit,unit_type,n_users,n_requests,cost_usd,cost_share,cost_per_request,cost_per_user,top1_user_share,top1_account_share,is_single_dept_college,suppression_reason
教職員,教職員,120,22524,1054.95,0.3837,0.046837,8.79,0.0993,0.4501,False,
服務憑證,服務憑證,82,60075,495.67,0.1803,0.008251,,0.6891,0.6891,False,unit：非自然人分組，單一識別碼佔 68.9% > 30%，依政策不抑制（抑制保護的是自然人）
工學院,學院,65,13814,445.11,0.1619,0.032222,6.85,0.0848,0.309,False,
管理學院,學院,33,12086,354.94,0.1291,0.029368,10.76,0.2385,0.7869,False,
智慧運算學院,學院,24,8073,264.46,0.0962,0.032759,11.02,0.2335,0.6114,True,
醫學院,學院,33,3948,134.18,0.0488,0.033986,4.07,0.1679,0.1679,False,
