unit,unit_type,n_users,n_accounts,n_requests,request_share,attributable_share,top1_user_share,top1_account_share,n_users_in_top_account,is_single_dept_college,suppression_reason
服務憑證,服務憑證,82,15,60075,0.4985,,0.6891,0.6891,1,False,unit：非自然人分組，單一識別碼佔 68.9% > 30%，依政策不抑制（抑制保護的是自然人）
教職員,教職員,120,20,22524,0.1869,0.3726,0.0993,0.4501,29,False,
工學院,學院,65,35,13814,0.1146,0.2285,0.0848,0.309,17,False,
管理學院,學院,33,12,12086,0.1003,0.2,0.2385,0.7869,17,False,
智慧運算學院,學院,24,6,8073,0.067,0.1336,0.2335,0.6114,12,True,
醫學院,學院,33,31,3948,0.0328,0.0653,0.1679,0.1679,1,False,
