層次,n_requests,佔比基準,佔比,備註
全部請求,120520,全部請求,1.0,
可歸屬個人（學生＋教職員）,60445,全部請求,0.5015,其餘為服務憑證，不是人
　└ 學生且能歸到學院,37921,可歸屬個人,0.6274,
　└ 學生但對不到學院,0,可歸屬個人,0.0,見 unmapped_dept_codes_lite
　└ 教職員（無單位資訊）,22524,可歸屬個人,0.3726,教職員編號沒有系所語意，屬資料層缺口而非分析限制
服務憑證（非人）,60075,全部請求,0.4985,自動化流程，無法也不應歸屬到單位
