unit,unit_type,n_users,user_share,n_requests,mean_requests,p25,p50,p75,p90,max,is_single_dept_college,suppression_reason
教職員,教職員,120,0.4364,22524,187.7,37,74,189,354,2237,False,
工學院,學院,65,0.2364,13814,212.5,52,143,248,509,1172,False,
管理學院,學院,33,0.12,12086,366.2,163,291,448,582,2882,False,
醫學院,學院,33,0.12,3948,119.6,28,82,134,314,663,False,
智慧運算學院,學院,24,0.0873,8073,336.4,60,151,406,783,1885,True,
