client_type,分組,n_requests,n_users,p10,p25,p50,p75,p90,p99,max,n_excluded_usage_missing,n_excluded_zero_denominator,suppression_reason
codex,codex,7068,76,1.9913,13.6985,52.2438,157.395,340.8637,1172.5975,7433.5333,188,59,
direct,direct,2622,23,,,,,,,,188,59,client_type：單人佔 61.0% > 30%
