client_type,n_requests,n_users,p10,p25,p50,p75,p90,p99,max,suppression_reason
codex,7033,76,11.0,26.0,171.0,654.0,5426.0,13815.0,723731.0,
direct,2417,21,,,,,,,,client_type：單人佔 61.0% > 30%；同表彙總列未抑制，本列數值可由對照推得
全體,9450,94,12.0,44.0,113.0,589.0,4155.7,44335.02,900179.0,
