分組,n,p10,p25,p50,p75,p90,p99,max,n_requests,n_turns,zero_cache_share,n_excluded_usage_missing,n_excluded_zero_prompt_tokens
1st,1002,0.0,0.0,0.0,0.9338,0.9858,0.9984,0.9999,1002,1002,0.5319,47,0
2nd,501,0.7636,0.8858,0.9591,0.9816,0.9906,0.9971,0.9995,501,501,0.0279,47,0
3rd+,5561,0.8807,0.9606,0.9868,0.9949,0.9974,0.9992,0.9998,5561,445,0.0156,47,0
