統計量,全體,排除有壓縮的 turn
n_turns,1025.0,1006.0
p10,1.0,1.0
p25,1.0,1.0
p50,1.0,1.0
p75,7.0,7.0
p90,17.6,17.0
p99,63.76,45.95
max,199.0,146.0
single_request_share,0.5083,0.5179
mean（僅供對照，勿引用）,6.9376,6.1183
n_turns_with_compaction,19.0,0.0
